species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 28,BH 28,supplementary_table_sample_label_anchor,direct_table_extracted,final,,6300-6200 cal  BCE,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row170,158 | Barcın Höyük | BH 28 | 31157 | 6300-6200 cal  BCE | N/A | N/A,normalized_interval,8149,8249,8199,mixed_radiocarbon_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 29,BH 29,supplementary_table_sample_label_anchor,direct_table_extracted,final,,6300-6200 cal BCE,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row171,159 | Barcın Höyük | BH 29 | 37343 | 6300-6200 cal BCE | N/A | N/A,normalized_interval,8149,8249,8199,mixed_radiocarbon_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 33,BH 33,supplementary_table_sample_label_anchor,direct_table_extracted,final,,6400-6300 cal BCE,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row172,160 | Barcın Höyük | BH 33 | 37346 | 6400-6300 cal BCE | N/A | N/A,normalized_interval,8249,8349,8299,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 38,BH 38,supplementary_table_sample_label_anchor,direct_table_extracted,final,,6400-6300 cal  BCE,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row173,161 | Barcın Höyük | BH 38 | 37350 | 6400-6300 cal  BCE | N/A | N/A,normalized_interval,8249,8349,8299,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 4,BH 4,supplementary_table_sample_label_anchor,direct_table_extracted,final,,6300-6200 cal BCE,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx || data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_2.xlsx,supplementary_spreadsheet_row,Sheet1!row168 || Sheet1!row4,156 | Barcın Höyük | BH 4 | 26484 | 6300-6200 cal BCE | N/A | N/A || 2 | Barcın Höyük | bhs004 | BH4 | 26487 | 12059036 | 979 | 8.7000000000000001E-4 | 75.8 | 2.5000000000000001E-5 | 7.0000000000000001E-3,normalized_interval,8149,8249,8199,mixed_radiocarbon_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 44,BH 44,supplementary_table_sample_label_anchor,direct_table_extracted,final,,6300-6200 cal BCE,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row174,162 | Barcın Höyük | BH 44 | 37605 | 6300-6200 cal BCE | N/A | N/A,normalized_interval,8149,8249,8199,mixed_radiocarbon_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 45,BH 45,supplementary_table_sample_label_anchor,direct_table_extracted,final,,-,sample_owned_text_only,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row175,163 | Barcın Höyük | BH 45 | 37307 | - | N/A | N/A,text_only_unparsed,,,,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology text disagrees with the project-level chronology wording.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 47,BH 47,supplementary_table_sample_label_anchor,direct_table_extracted,final,,6600-6500 cal BCE,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row176,164 | Barcın Höyük | BH 47 | 37607 | 6600-6500 cal BCE | N/A | N/A,normalized_interval,8449,8549,8499,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 50,BH 50,supplementary_table_sample_label_anchor,direct_table_extracted,final,,-,sample_owned_text_only,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row177,165 | Barcın Höyük | BH 50 | 37308 | - | N/A | N/A,text_only_unparsed,,,,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology text disagrees with the project-level chronology wording.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 51,BH 51,supplementary_table_sample_label_anchor,direct_table_extracted,final,,-,sample_owned_text_only,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row178,166 | Barcın Höyük | BH 51 | 37309 | - | N/A | N/A,text_only_unparsed,,,,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology text disagrees with the project-level chronology wording.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
