species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind,chronology_time_mean_bp
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757323,SAMEA112757323,,,SAMEA112757323,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757323,ENA archive metadata identifies sample SAMEA112757323 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757324,SAMEA112757324,,,SAMEA112757324,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757324,ENA archive metadata identifies sample SAMEA112757324 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757325,SAMEA112757325,,,SAMEA112757325,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757325,ENA archive metadata identifies sample SAMEA112757325 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757326,SAMEA112757326,,,SAMEA112757326,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757326,ENA archive metadata identifies sample SAMEA112757326 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757327,SAMEA112757327,,,SAMEA112757327,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757327,ENA archive metadata identifies sample SAMEA112757327 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757328,SAMEA112757328,,,SAMEA112757328,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757328,ENA archive metadata identifies sample SAMEA112757328 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757329,SAMEA112757329,,,SAMEA112757329,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757329,ENA archive metadata identifies sample SAMEA112757329 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757330,SAMEA112757330,,,SAMEA112757330,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757330,ENA archive metadata identifies sample SAMEA112757330 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757331,SAMEA112757331,,,SAMEA112757331,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757331,ENA archive metadata identifies sample SAMEA112757331 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757332,SAMEA112757332,,,SAMEA112757332,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757332,ENA archive metadata identifies sample SAMEA112757332 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757333,SAMEA112757333,,,SAMEA112757333,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757333,ENA archive metadata identifies sample SAMEA112757333 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757334,SAMEA112757334,,,SAMEA112757334,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757334,ENA archive metadata identifies sample SAMEA112757334 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757335,SAMEA112757335,,,SAMEA112757335,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757335,ENA archive metadata identifies sample SAMEA112757335 as Rangifer tarandus platyrhynchus (tax_id 3082113).,final,,,,,,,,,,3082113,Rangifer tarandus platyrhynchus,project_species_mismatch,,biological_sample_accession,
