site_id,site_name,country,temporal_strength,duration_posture,access_visibility,normalization_risk,publication_posture,site_page_url,summary_label,review_note
6468,10412 Fjälkinge,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6468,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6469,10469 Kvistofta,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6469,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6481,10531 Örkelljunga,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6481,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6482,10535 Skåne,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6482,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
3833,12051 Bro,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/3833,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
3824,12068 Gotland,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/3824,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
3832,12076 Ekeby,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/3832,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6478,12590 Hall,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6478,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6466,12615 Stelor,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6466,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6447,12628 Länna,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6447,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6479,12673 Fröjel,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6479,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
3827,12709 Stenkumla,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/3827,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6480,12711 Othem,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6480,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6453,14295 Ringarum,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6453,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6470,14851 Norrköping,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6470,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6456,14885 Strömmen,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6456,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6483,14889 Östergötland,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6483,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6330,16014 Älgarås,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6330,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6332,16024 Finnerödja,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6332,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6335,16560 Hova,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6335,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6458,17118 Sörby,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6458,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
3823,17200 Ödeshög,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/3823,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
5652,41093 Tranås,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/5652,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6341,51840 Malung-Sälen,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6341,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6471,57333 Yttergran,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6471,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6445,58060 Ölands värdshus,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6445,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6484,58194 Kalmar,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6484,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
5653,58195 Böda,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/5653,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6462,61094 Kronobäck,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6462,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
5654,61779 Söderåkra,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/5654,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6450,62771 Norra Vallby,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6450,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
6472,62790 Uppsala,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/6472,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
3826,62858 Skånela,Sweden,inventory_only_or_unresolved,duration_not_available,site_page_only,high_thin_site_inventory,context_layer_with_explicit_caveat,https://browser.sead.se/site/3826,Unresolved time semantics,Current checked-in SEAD capture is too thin to support stronger temporal interpretation.
