project_accession,species_latin_name,species_common_name,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,assigned_locality_text,locality_resolution_status,assigned_locality_class,normalized_display_spelling,geocoding_safe_token,site_name,municipality_name,region_name,country_name,broader_geography,evidence_source_surface,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,locality_evidence_bucket,review_note
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577008,SAMEA5577008,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577009,SAMEA5577009,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577010,SAMEA5577010,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577011,SAMEA5577011,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577012,SAMEA5577012,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577149,SAMEA5577149,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577150,SAMEA5577150,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577151,SAMEA5577151,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577153,SAMEA5577153,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577154,SAMEA5577154,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577344,Abu1,archive_supplement_primary_source_join,direct_table_extracted,final,,Abu Gosh,direct_sample_site,excavation_site,Abu Gosh,abugosh,Abu Gosh,,,Israel,,supplementary_table,data/adna/governance/source_library/papers/10.1126-science.aav1002/supplementary/aav1002_verdugo_sm.pdf,supplementary_pdf_text,"sample_accession:SAMEA5577344 || Table S1 sample ID:Abu1 || Archaeological sites and context section 1 ""Abu Gosh, Israel"" (PDF page 2) || Archaeological sites and context section 1 ""Abu Gosh, Israel"" (PDF page 2)",Archive taxonomy Bos primigenius (tax_id 9909) | supplement sample Abu1 | Abu Gosh | 7500-6000 BCE,,,,7949-9449 BP,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJEB31621,Bos taurus,cattle,prjeb31621:samea5577345,Abu2,archive_supplement_primary_source_join,direct_table_extracted,final,,Abu Gosh,direct_sample_site,excavation_site,Abu Gosh,abugosh,Abu Gosh,,,Israel,,supplementary_table,data/adna/governance/source_library/papers/10.1126-science.aav1002/supplementary/aav1002_verdugo_sm.pdf,supplementary_pdf_text,"sample_accession:SAMEA5577345 || Table S1 sample ID:Abu2 || Archaeological sites and context section 1 ""Abu Gosh, Israel"" (PDF page 2) || Archaeological sites and context section 1 ""Abu Gosh, Israel"" (PDF page 2)",Archive taxonomy Bos primigenius (tax_id 9909) | supplement sample Abu2 | Abu Gosh | 7500-6000 BCE,,,,7949-9449 BP,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
