species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind,chronology_time_mean_bp
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577008,SAMEA5577008,,,SAMEA5577008,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577008,Archive taxonomy Bos taurus (tax_id 9913),final,,,,,,,unknown,unresolved,unresolved,9913,Bos taurus,project_species_match,,biological_sample_accession,
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577009,SAMEA5577009,,,SAMEA5577009,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577009,Archive taxonomy Bos taurus (tax_id 9913),final,,,,,,,unknown,unresolved,unresolved,9913,Bos taurus,project_species_match,,biological_sample_accession,
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577010,SAMEA5577010,,,SAMEA5577010,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577010,Archive taxonomy Bos indicus (tax_id 9915),final,,,,,,,unknown,unresolved,unresolved,9915,Bos indicus,project_species_mismatch,,biological_sample_accession,
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577011,SAMEA5577011,,,SAMEA5577011,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577011,Archive taxonomy Bos indicus (tax_id 9915),final,,,,,,,unknown,unresolved,unresolved,9915,Bos indicus,project_species_mismatch,,biological_sample_accession,
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577012,SAMEA5577012,,,SAMEA5577012,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577012,Archive taxonomy Bos taurus (tax_id 9913),final,,,,,,,unknown,unresolved,unresolved,9913,Bos taurus,project_species_match,,biological_sample_accession,
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577149,SAMEA5577149,,,SAMEA5577149,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577149,Archive taxonomy Bos indicus (tax_id 9915),final,,,,,,,unknown,unresolved,unresolved,9915,Bos indicus,project_species_mismatch,,biological_sample_accession,
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577150,SAMEA5577150,,,SAMEA5577150,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577150,Archive taxonomy Bos taurus (tax_id 9913),final,,,,,,,unknown,unresolved,unresolved,9913,Bos taurus,project_species_match,,biological_sample_accession,
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577151,SAMEA5577151,,,SAMEA5577151,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577151,Archive taxonomy Bos taurus (tax_id 9913),final,,,,,,,unknown,unresolved,unresolved,9913,Bos taurus,project_species_match,,biological_sample_accession,
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577153,SAMEA5577153,,,SAMEA5577153,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577153,Archive taxonomy Bos taurus (tax_id 9913),final,,,,,,,unknown,unresolved,unresolved,9913,Bos taurus,project_species_match,,biological_sample_accession,
Bos taurus,cattle,PRJEB31621,prjeb31621:samea5577154,SAMEA5577154,,,SAMEA5577154,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB31621/archive_metadata.html,sample_accession:SAMEA5577154,Archive taxonomy Bos gaurus (tax_id 9904),final,,,,,,,unknown,unresolved,unresolved,9904,Bos gaurus,project_species_mismatch,,biological_sample_accession,
