species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Equus caballus,horse,PRJEB44430,prjeb44430:car05_hun_m2458,CAR05_Hun_m2458,supplementary_table_sample_label_anchor,direct_table_extracted,final,,4408 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row64,"CAR05_Hun_m2458 | 46.362 N, 17.731 E | Kaposújlak-Várdomb | Hungary | HUNG | fortified settlement, Early Bronze Age Somogyvár-Vinkovci Culture | - | 3954 | 29 | -2571 | -2344 | 2458 | 4408 | M | this study | 1 | 4 | 4 | 516948771 | 59439034 | 576387805 | - | - | - | 308.45176752499998 | 3.8649311243",normalized_point,4408,4408,4408,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB44430,prjeb44430:samea9533171,18ELTu18_Spa_m588,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2538 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row26,"18ELTu18_Spa_m588 | 38.949334 N, -6.064916 E | El Turuñuelo | Spain | DOM2 | sacrificial level in settlement, Iron Age Tartessos Culture | 208899 | 2460 | 15 | -753 | -423 | 588 | 2538 | M | this study | 1 | 3 | 3 | 134327799 | 29203846 | 163531645 | - | - | - | 47.4390653086 | 1.4292106341099999 | ",normalized_point,2538,2538,2538,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB44430,prjeb44430:samea9533172,AC7970_Tur_m290,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2240 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row23,"AC7970_Tur_m290 | 38.411227 N, 33.835694 E | Acemhoyuk | Turkey | DOM2 | settlement, Iron Age | 199632 | 2225 | 20 | -378 | -202 | 290 | 2240 | M | this study | 1 | 4 | 4 | 355377381 | 259742926 | 615120307 | - | - | - | 268.77723187499998 | 1.40326908756 | 1.0189999999999999E-3 | 0.6741155015940000",normalized_point,2240,2240,2240,mixed_radiocarbon_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Equus caballus,horse,PRJEB44430,prjeb44430:samea9533173,AC8811_Tur_m2125,supplementary_table_sample_label_anchor,direct_table_extracted,final,,4075 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row24,"AC8811_Tur_m2125 | 38.411227 N, 33.835694 E | Acemhoyuk | Turkey | DOM2 | settlement, Bronze Age | 199300 | 3745 | 15 | -2205 | -2044 | 2125 | 4075 | F | this study | 1 | 4 | 4 | 253624557 | 47720858 | 301345415 | - | - | - | 109.436009587 | 5.0326293336300001 | 9.8400000000000007E-4 | 2.95352851798",normalized_point,4075,4075,4075,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB44430,prjeb44430:samea9533174,AC9016_Tur_m1900,supplementary_table_sample_label_anchor,direct_table_extracted,final,,3850 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row25,"AC9016_Tur_m1900 | 38.411227 N, 33.835694 E | Acemhoyuk | Turkey | DOM2 | settlement, Bronze Age, ~1,900 BCE | - | - | - | - | - | 1900 | 3850 | M | this study | 1 | 6 | 6 | 429180744 | 216939898 | 646120642 | - | - | - | 125.520011983 | 1.76361847095 | 1.0399999999999999E-3 | 0.93841435696099995 | ",normalized_point,3850,3850,3850,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB44430,prjeb44430:samea9533175,Arz15_Rus_m650,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2600 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row173,"Arz15_Rus_m650 | 52.066389 N, 93.5225 E | Arzhan-II | Russia | DOM2 | burial site, Iron Age, Early Scythian Culture, 7th century BCE | - | - | - | - | - | 650 | 2600 | M | this study | 1 | 4 | 4 | 464260052 | 196012850 | 660272902 | - | - | - | 908.92786099499995 | 8.2417856719600007 | 6.50999999999",normalized_point,2600,2600,2600,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB44430,prjeb44430:samea9533176,Arz1x12_Rus_m854,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2804 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row174,"Arz1x12_Rus_m854 | 52.066389 N, 93.5225 E | Arzhan-I | Russia | DOM2 | burial site, Iron Age, Early Scythian Culture | 229401 | 2695 | 20 | -900 | -807 | 854 | 2804 | M | this study | 1 | 4 | 4 | 223827461 | 52654400 | 276481861 | - | - | - | 194.86464949099999 | 5.8378637150900001 | 9.0899999999999",normalized_point,2804,2804,2804,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB44430,prjeb44430:samea9533177,Arz1x13_Rus_m581,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2531 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row175,"Arz1x13_Rus_m581 | 52.066389 N, 93.5225 E | Arzhan-I | Russia | DOM2 | burial site, Iron Age, Early Scythian Culture | 229402 | 2445 | 20 | -750 | -412 | 581 | 2531 | M | this study | 1 | 4 | 4 | 454571116 | 105850028 | 560421144 | - | - | - | 399.53624925100002 | 12.248950263999999 | 8.710000000000",normalized_point,2531,2531,2531,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB44430,prjeb44430:samea9533178,Arz1x14_Rus_m800,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2750 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row176,"Arz1x14_Rus_m800 | 52.066389 N, 93.5225 E | Arzhan-I | Russia | DOM2 | burial site, Iron Age, Early Scythian Culture | - | - | - | - | - | 800 | 2750 | M | this study | 1 | 1 | 1 | 154734245 | 14229892 | 168964137 | - | - | - | 96.567465548200005 | 3.6076353999599999 | 1.165E-3 | 2.3553246576400002 ",normalized_point,2750,2750,2750,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB44430,prjeb44430:samea9533179,Besta5_Kaz_m1892,supplementary_table_sample_label_anchor,direct_table_extracted,final,,3842 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1038-s41586-021-04018-9/supplementary/41586_2021_4018_MOESM5_ESM.xlsx,supplementary_spreadsheet_row,SI Table 1!row162,"Besta5_Kaz_m1892 | 51.575646 N, 64.724468 E | Bestamak | Kazakhstan | DOM2 | cemetery, Bronze Age Sintashta Culture | 199265 | 3555 | 20 | -2008 | -1776 | 1892 | 3842 | M | this study | 1 | 4 | 4 | 460943813 | 199329404 | 660273217 | - | - | - | 78.186698621900007 | 1.86832650282 | 1.132999999999999",normalized_point,3842,3842,3842,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
