project_accession,species_latin_name,source_surface,source_claim_scope,supporting_sample_count,original_locality_text,resolved_locality_text,locality_class,site_name,municipality_name,region_name,country_name,broader_geography,geocoding_safe_token,source_artifact_path,source_artifact_kind,source_locator,source_excerpt
PRJEB81815,Felis catus,article_text,project_context_site,0,North Africa to Europe cat population context,North Africa to Europe cat population context,broader_locality,,,,,North Africa and Europe,northafricatoeuropecatpopulationcontext,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,article_html_body_quote,discussion text,"Subsequently, since the Roman Imperial era, cats more genetically similar to present-day domestic cats were spread across Europe from a distinct North African population."
PRJEB81815,Felis catus,article_text,original_place_string,0,North Africa to Europe cat population context,North Africa to Europe cat population context,broader_locality,,,,,North Africa and Europe,northafricatoeuropecatpopulationcontext,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,coordinate_provenance_original_place,discussion text,"The source supports a North Africa to Europe dispersal process, not one cat excavation point."
PRJEB81815,Felis catus,coordinate_resolution,resolved_place_string,0,North Africa to Europe dispersal extent,North Africa to Europe cat population context,broader_locality,,,,,North Africa and Europe,northafricatoeuropedispersalextent,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,coordinate_provenance_resolved_place,discussion text,"The source supports a North Africa to Europe dispersal process, not one cat excavation point."
PRJEB81815,Felis catus,supplementary_table,sample_owned_locality,1,"Alba Fucens -Cisterna (Fucino, Abruzzi)","Alba Fucens -Cisterna (Fucino, Abruzzi)",excavation_site,"Alba Fucens -Cisterna (Fucino, Abruzzi)",,,Italy,,albafucenscisternafucinoabruzzi,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246516 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row5 -> Table_S1!row68,ENA identifies SAMEA120246516 as Felis catus (tax_id 9685). Exact workbook join AF03; source chronology: 210-340 AD (cal AMS).
PRJEB81815,Felis catus,supplementary_table,sample_owned_locality,1,"Arene Candide (Finale Ligure, Savona, Liguria)","Arene Candide (Finale Ligure, Savona, Liguria)",excavation_site,"Arene Candide (Finale Ligure, Savona, Liguria)",,,Italy,,arenecandidefinaleliguresavonaliguria,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246515 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row3 -> Table_S1!row66,ENA identifies SAMEA120246515 as Felis silvestris silvestris (tax_id 463207). Exact workbook join AC01; source chronology: 10-11 ka (Epigravettian).
PRJEB81815,Felis catus,supplementary_table,sample_owned_locality,1,Aşıklı Höyük,Aşıklı Höyük,excavation_site,Aşıklı Höyük,,,Turkey,,aşıklıhöyük,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246517 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row6 -> Table_S1!row196,ENA identifies SAMEA120246517 as Felis silvestris silvestris (tax_id 463207). Exact workbook join ASK01; source chronology: 7950BC (95.4%) 7610BC.
PRJEB81815,Felis catus,supplementary_table,sample_owned_locality,2,Bademağacı,Bademağacı,excavation_site,Bademağacı,,,Turkey,,bademağacı,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246518 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row7 -> Table_S1!row197,ENA identifies SAMEA120246518 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BA02; source chronology: 6430BC (61.9%) 6330BC / 6320BC (33.5%) 6240BC.
PRJEB81815,Felis catus,supplementary_table,sample_owned_locality,3,Bank of Portugal,Bank of Portugal,excavation_site,Bank of Portugal,,,Portugal,,bankofportugal,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246522 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row13 -> Table_S1!row153,ENA identifies SAMEA120246522 as Felis catus (tax_id 9685). Exact workbook join BP01; source chronology: 890AD (32.4%) 930AD / 940AD (63.0%) 1020AD.
PRJEB81815,Felis catus,supplementary_table,sample_owned_locality,2,Bernhardsthal,Bernhardsthal,excavation_site,Bernhardsthal,,,Austria,,bernhardsthal,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246520 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row10 -> Table_S1!row3,ENA identifies SAMEA120246520 as Felis catus (tax_id 9685). Exact workbook join BHHL01; source chronology: 770AD (95.4%) 980AD.
PRJEB81815,Felis catus,supplementary_table,sample_owned_locality,1,"Bremen; 201-Altstadt, Marktplatz","Bremen; 201-Altstadt, Marktplatz",excavation_site,"Bremen; 201-Altstadt, Marktplatz",,,Germany,,bremen201altstadtmarktplatz,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246525 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row16 -> Table_S1!row44,ENA identifies SAMEA120246525 as Felis catus (tax_id 9685). Exact workbook join BREM05; source chronology: 1440AD (65.0%) 1530AD / 1570AD (30.4%) 1630AD.
