project_accession,species_latin_name,source_surface,source_claim_scope,supporting_sample_count,original_locality_text,resolved_locality_text,locality_class,site_name,municipality_name,region_name,country_name,broader_geography,geocoding_safe_token,source_artifact_path,source_artifact_kind,source_locator,source_excerpt
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,1,"Barche di Solferino, near Mantova","Barche di Solferino, near Mantova",excavation_site,"Barche di Solferino, near Mantova",,,Italy,,barchedisolferinonearmantova,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A38:Y38 || sample_accession:SAMEA115574423;submitted_filename_prefix:Mantova1;tsv_lines:137,139,249,346,384,386,388,390,391,431,549,550,551,552,553,554,655,656,657 || sample_accession:SAMEA115574423","workbook sample Mantova1 | specimen V.54 | locality Barche di Solferino, near Mantova, Italy | source proximal coordinates 45.1581560673906, 10.793506163037 | source BP claim 13172-12931 | canonical BP interval [12931, 13172] | published analysis mean 13051.5 BP | normalized integer mean 13052 BP; source decimal precision retained in the published analysis mean | source taxonomy Bos primigenius | population label ""Pleistocene Wild Italy"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574423 as Bos primigenius (tax_id 9909)."
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,1,"Barguzin river, Baikal","Barguzin river, Baikal",excavation_site,"Barguzin river, Baikal",,,Russia,,barguzinriverbaikal,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A5:Y5 || sample_accession:SAMEA115574404;submitted_filename_prefix:Baikal1;tsv_lines:37,38,39,40,41,42,43,44,45,128,130,132,133,134,475,476,477,478,479,480,633 || sample_accession:SAMEA115574404","workbook sample Baikal1 | specimen 13611.0 | locality Barguzin river, Baikal, Russia | source proximal coordinates 51.4966093549618, 104.037519968685 | source BP claim 12455-11941 | canonical BP interval [11941, 12455] | published analysis mean 12198 BP | source taxonomy Bos primigenius | population label ""Pleistocene Wild Siberia"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574404 as Bos primigenius (tax_id 9909)."
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,1,Bedburg-Königshoven,Bedburg-Königshoven,excavation_site,Bedburg-Königshoven,,,Germany,,bedburgkönigshoven,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A16:Y16 || sample_accession:SAMEA115574405;submitted_filename_prefix:Bed4;tsv_lines:46,47,48,49,136,138,140,141,143,145,147,148,149,151,153,155,339,481,482,483,484,485,486,487 || sample_accession:SAMEA115574405","workbook sample Bed4 | source specimen ID unavailable | locality Bedburg-Königshoven, Germany | source proximal coordinates 51.1072285985126, 6.46428381971451 | source BP claim 11875-11402 | canonical BP interval [11402, 11875] | published analysis mean 11638.5 BP | normalized integer mean 11638 BP; source decimal precision retained in the published analysis mean | source taxonomy Bos primigenius | population label ""Holocene Wild Germany"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574405 as Bos primigenius (tax_id 9909)."
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,1,"Borly 4, Pavlodar region","Borly 4, Pavlodar region",broader_locality,"Borly 4, Pavlodar region",,,Kazakhstan,,borly4pavlodarregion,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A23:Y23 || sample_accession:SAMEA115574407;submitted_filename_prefix:Borly4b;tsv_lines:61,62,63,64,65,66,67,68,184,185,187,189,370,426,427,512,513,514,635 || sample_accession:SAMEA115574407","workbook sample Borly4b | specimen Dwelling No. 3, from the ash layer | locality Borly 4, Pavlodar region, Kazakhstan | source proximal coordinates 52.040164667297, 77.7272383993485 | source BP claim 5025-4839 | canonical BP interval [4839, 5025] | published analysis mean 4932 BP | source taxonomy Bos primigenius | population label ""Holocene Wild Central Asia"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574407 as Bos primigenius (tax_id 9909)."
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,2,Former Soviet Union,Former Soviet Union,excavation_site,Former Soviet Union,,,Unknown,,formersovietunion,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A22:Y22 || sample_accession:SAMEA115574443;submitted_filename_prefix:Tango1;tsv_lines:168,170,172,173,356,499 || sample_accession:SAMEA115574443","workbook sample Tango1 | specimen 21998.0 | locality Former Soviet Union, Unknown | source proximal coordinates Unknown, Unknown | source BP claim 4068-3840 | canonical BP interval [3840, 4068] | published analysis mean 3954 BP | source taxonomy Bos primigenius | population label ""Holocene Wild Unknown"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574443 as Bos primigenius (tax_id 9909)."
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,1,"Frederiksborg, Alsønderup","Frederiksborg, Alsønderup",excavation_site,"Frederiksborg, Alsønderup",,,Denmark,,frederiksborgalsønderup,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,supplementary_spreadsheet_row,Supplementary Data 1!A44:Y44,"workbook sample Fre1 | specimen ZMK16/1957 | locality Frederiksborg, Alsønderup, Denmark | source proximal coordinates 55.9346647197838, 12.3010578233008 | source BP claim 10751-10422 | canonical BP interval [10422, 10751] | published analysis mean 10586.5 BP | normalized integer mean 10586 BP; source decimal precision retained in the published analysis mean | source taxonomy Bos primigenius | population label ""Holocene Wild Scandinavia"" | admitted only as explicit wild/progenitor context | Fre1 is paper-only: the workbook reports UDG treatment 'No' and 0.0 genomic coverage, while the pinned PRJEB75467 archive has no Fre1 filename or BioSample identity; an accession is not inferred."
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,1,"Grotta dell'Uzzo, Sicily","Grotta dell'Uzzo, Sicily",excavation_site,"Grotta dell'Uzzo, Sicily",,,Italy,,grottadelluzzosicily,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A20:Y20 || sample_accession:SAMEA115574448;submitted_filename_prefix:Uzzo1;tsv_lines:284,285,288,291,362,363,365,366,368,369,371,372,608,609,610,611,649 || sample_accession:SAMEA115574448","workbook sample Uzzo1 | specimen Grotta dell'Uzzo | locality Grotta dell'Uzzo, Sicily, Italy | source proximal coordinates 37.5934202669809, 13.8526139597698 | source BP claim 9542-9429 | canonical BP interval [9429, 9542] | published analysis mean 9485.5 BP | normalized integer mean 9486 BP; source decimal precision retained in the published analysis mean | source taxonomy Bos primigenius | population label ""Holocene Wild Italy"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574448 as Bos primigenius (tax_id 9909)."
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,1,Gyumri district,Gyumri district,excavation_site,Gyumri district,,,Armenia,,gyumridistrict,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A3:Y3 || sample_accession:SAMEA115574418;submitted_filename_prefix:Gyu1;tsv_lines:56,119,121,126,178,233,235,237,239,502,503,504,535,536,537,538,539,640 || sample_accession:SAMEA115574418","workbook sample Gyu1 | specimen 11139.0 | locality Gyumri district, Armenia | source proximal coordinates 41.1320112833211, 43.8712544488537 | source BP claim 14023-13789 | canonical BP interval [13789, 14023] | published analysis mean 13906 BP | source taxonomy Bos primigenius | population label ""Pleistocene Wild Caucauses"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574418 as Bos primigenius (tax_id 9909)."
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,1,Herxheim,Herxheim,excavation_site,Herxheim,,,Germany,,herxheim,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A2:Y2 || sample_accession:SAMEA115574420;submitted_filename_prefix:Hxh2;tsv_lines:2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,75,77,79,81,83,84,86,87,89,90,92,94,95,97,98,100,102,103,104,106,107,109,110,113,114,116,118,120,122,123,124,125,127,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474 || sample_accession:SAMEA115574420","workbook sample Hxh2 | specimen ER97/102 282-94-11 | locality Herxheim, Germany | source proximal coordinates 49.145275, 8.221805 | source BP claim 5696 (3321-8989) | canonical BP interval [3321, 8989] | published analysis mean 5696.0 BP | source taxonomy Bos primigenius | population label ""Holocene Wild Germany"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574420 as Bos primigenius (tax_id 9909)."
PRJEB75467,Bos taurus,supplementary_table,sample_owned_locality,1,"Hjørring, Tofte Bæk","Hjørring, Tofte Bæk",excavation_site,"Hjørring, Tofte Bæk",,,Denmark,,hjørringtoftebæk,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A26:Y26 || sample_accession:SAMEA115574419;submitted_filename_prefix:Hjo1;tsv_lines:129,241,244,344,540,541,542,543,544 || sample_accession:SAMEA115574419","workbook sample Hjo1 | specimen VHM500/1985, ZMK103/1989 | locality Hjørring, Tofte Bæk, Denmark | source proximal coordinates 57.2407065497517, 9.8686973853874 | source BP claim 8173-7976 | canonical BP interval [7976, 8173] | published analysis mean 8074.5 BP | normalized integer mean 8074 BP; source decimal precision retained in the published analysis mean | source taxonomy Bos primigenius | population label ""Holocene Wild Scandinavia"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574419 as Bos primigenius (tax_id 9909)."
